UNIT,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,date
DAY,1701561600,63.7612209744688,65.5397030373122,62.4109980132657,63.0751956965475,2023-12-03
DAY,1701648000,63.0751956965475,65.2606054516138,60.2025727933143,61.6492422319976,2023-12-04
DAY,1701734400,61.6492422319976,62.5714900651853,59.2301956602529,61.0981222036484,2023-12-05
DAY,1701820800,61.0981222036484,66.6271735138343,61.0971057466874,61.9156132568581,2023-12-06
DAY,1701907200,61.9156132568581,69.3982547959363,61.7590865638642,67.8360945096498,2023-12-07
DAY,1701993600,67.8360945096498,75.2348131777764,67.835119723928,74.9660802087187,2023-12-08
DAY,1702080000,74.9660802087187,77.6967782963189,71.9072013693798,72.3143330297328,2023-12-09
DAY,1702166400,72.3143330297328,74.9298995829401,70.8549435343029,74.9148661721709,2023-12-10
DAY,1702252800,74.9148661721709,74.9924044581341,67.0839790183452,70.3702332446331,2023-12-11
DAY,1702339200,70.3702332446331,72.4976597693787,65.8344872510023,68.551333511235,2023-12-12
DAY,1702425600,68.551333511235,72.4305085684733,63.8746923678622,70.6340963310138,2023-12-13
DAY,1702512000,70.6340963310138,76.2183552548539,69.7362778810556,75.7982313033355,2023-12-14
DAY,1702598400,75.7982313033355,79.3962106910601,72.176185487939,72.5120093946241,2023-12-15
DAY,1702684800,72.5120093946241,77.2660237602238,71.3841590035276,73.688109958857,2023-12-16
DAY,1702771200,73.688109958857,75.0249879356557,70.5271485939732,70.8182697041896,2023-12-17
DAY,1702857600,70.8182697041896,75.5724996663414,67.172800751044,74.5816771516756,2023-12-18
DAY,1702944000,74.5816771516756,76.4428182720253,72.0129295409975,73.1885585895238,2023-12-19
DAY,1703030400,73.1885585895238,84.216493542312,73.0050812625384,82.3472631757251,2023-12-20
DAY,1703116800,82.3472631757251,95.5979241449087,81.2656656219634,94.0336265164564,2023-12-21
DAY,1703203200,94.0336265164564,99.4853468205046,90.8919660311682,98.1733942897678,2023-12-22
DAY,1703289600,98.1733942897678,110.074071456951,93.1541672879783,108.098508881388,2023-12-23
DAY,1703376000,108.098508881388,118.051869370318,107.741405306587,112.751755215477,2023-12-24
DAY,1703462400,112.751755215477,126.102932008402,108.481843649719,121.098661464197,2023-12-25
DAY,1703548800,121.098661464197,121.376188467693,104.613883475058,112.629203803638,2023-12-26
